NM_000014	A2MG_HUMAN	P01023
NM_001185108	CD1E_HUMAN	P15812
NM_001185110	CD1E_HUMAN	P15812
NM_001185112	CD1E_HUMAN	P15812
NM_001185113	CD1E_HUMAN	P15812
NM_001185114	CD1E_HUMAN	P15812
NM_001185115	CD1E_HUMAN	P15812
NM_030893	CD1E_HUMAN	P15812
NM_030895	ZN696_HUMAN	Q9H7X3
NM_001135216	A0A024RCL4_HUMAN	A0A024RCL4
NM_001243241	A0A024RCL4_HUMAN	A0A024RCL4
NM_030899	A0A024RCL4_HUMAN	A0A024RCL4
NM_001135216	ZSC31_HUMAN	Q96LW9
NM_001243241	ZSC31_HUMAN	Q96LW9
NM_001243242	ZSC31_HUMAN	Q96LW9
NM_001243243	ZSC31_HUMAN	Q96LW9
NM_001243244	ZSC31_HUMAN	Q96LW9
NM_030899	ZSC31_HUMAN	Q96LW9
NM_001135216	Q96QL1_HUMAN	Q96QL1
NM_030899	Q96QL1_HUMAN	Q96QL1
NM_030901	OR7AH_HUMAN	O14581
NM_030903	OR2W1_HUMAN	Q9Y3N9
NM_030904	OR2T1_HUMAN	O43869
NM_030905	OR2J2_HUMAN	O76002
NM_001289058	STK33_HUMAN	Q9BYT3
NM_001289059	STK33_HUMAN	Q9BYT3
NM_001289061	STK33_HUMAN	Q9BYT3
NM_030906	STK33_HUMAN	Q9BYT3
NM_030907	RSG1_HUMAN	Q9BU20
NM_030908	OR2A4_HUMAN	O95047
NM_001193478	CDAC1_HUMAN	Q9BWV3
NM_030911	CDAC1_HUMAN	Q9BWV3
NM_030912	TRIM8_HUMAN	Q9BZR9
NM_001178061	SEM6C_HUMAN	Q9H3T2
NM_001178062	SEM6C_HUMAN	Q9H3T2
NM_030913	SEM6C_HUMAN	Q9H3T2
NM_030914	A0A024R8C7_HUMAN	A0A024R8C7
NM_001135947	URM1_HUMAN	Q9BTM9
NM_001265582	URM1_HUMAN	Q9BTM9
NM_030914	URM1_HUMAN	Q9BTM9
NM_030915	LBH_HUMAN	Q53QV2
NM_030916	K4PZ75_HUMAN	K4PZ75
NM_030916	PVRL4_HUMAN	Q96NY8
NM_001134937	FIP1_HUMAN	Q6UN15
NM_001134938	FIP1_HUMAN	Q6UN15
NM_030917	FIP1_HUMAN	Q6UN15
NM_030918	SNX27_HUMAN	Q96L92
NM_030919	A0A087WXK8_HUMAN	A0A087WXK8
NM_030919	FA83D_HUMAN	Q9H4H8
NM_001136478	AN32E_HUMAN	Q9BTT0
NM_001136479	AN32E_HUMAN	Q9BTT0
NM_001280559	AN32E_HUMAN	Q9BTT0
NM_001280560	AN32E_HUMAN	Q9BTT0
NM_030920	AN32E_HUMAN	Q9BTT0
NM_001008860	A0A024R372_HUMAN	A0A024R372
NM_001008892	A0A024R372_HUMAN	A0A024R372
NM_001184889	A0A024R372_HUMAN	A0A024R372
NM_030922	A0A024R372_HUMAN	A0A024R372
NM_001008860	NIPA2_HUMAN	Q8N8Q9
NM_001008892	NIPA2_HUMAN	Q8N8Q9
NM_001008894	NIPA2_HUMAN	Q8N8Q9
NM_001184888	NIPA2_HUMAN	Q8N8Q9
NM_001184889	NIPA2_HUMAN	Q8N8Q9
NM_030922	NIPA2_HUMAN	Q8N8Q9
NM_030923	TM163_HUMAN	Q8TC26
NM_001289177	ACBG2_HUMAN	Q5FVE4
NM_001289178	ACBG2_HUMAN	Q5FVE4
NM_001289179	ACBG2_HUMAN	Q5FVE4
NM_001289180	ACBG2_HUMAN	Q5FVE4
NM_030924	ACBG2_HUMAN	Q5FVE4
NM_001079670	A0A024RDT3_HUMAN	A0A024RDT3
NM_001287337	A0A024RDT3_HUMAN	A0A024RDT3
NM_001287338	A0A024RDT3_HUMAN	A0A024RDT3
NM_001287339	A0A024RDT3_HUMAN	A0A024RDT3
NM_030925	A0A024RDT3_HUMAN	A0A024RDT3
NM_001287337	Q86WE6_HUMAN	Q86WE6
NM_001287338	Q86WE6_HUMAN	Q86WE6
NM_001287339	Q86WE6_HUMAN	Q86WE6
NM_030925	Q86WE6_HUMAN	Q86WE6
NM_001079670	CB39L_HUMAN	Q9H9S4
NM_001287337	CB39L_HUMAN	Q9H9S4
NM_001287338	CB39L_HUMAN	Q9H9S4
NM_001287339	CB39L_HUMAN	Q9H9S4
NM_030925	CB39L_HUMAN	Q9H9S4
NM_001287241	A0A024R466_HUMAN	A0A024R466
NM_030926	A0A024R466_HUMAN	A0A024R466
NM_001012514	ITM2C_HUMAN	Q9NQX7
NM_001012516	ITM2C_HUMAN	Q9NQX7
NM_001287240	ITM2C_HUMAN	Q9NQX7
NM_001287241	ITM2C_HUMAN	Q9NQX7
NM_030926	ITM2C_HUMAN	Q9NQX7
NM_001128309	TSN14_HUMAN	Q8NG11
NM_030927	TSN14_HUMAN	Q8NG11
NM_030928	CDT1_HUMAN	Q9H211
NM_030929	KAZD1_HUMAN	Q96I82
NM_030930	UN93B_HUMAN	Q9H1C4
NM_030931	DB126_HUMAN	Q9BYW3
NM_001042517	DIAP3_HUMAN	Q9NSV4
NM_001258366	DIAP3_HUMAN	Q9NSV4
NM_001258367	DIAP3_HUMAN	Q9NSV4
NM_001258368	DIAP3_HUMAN	Q9NSV4
NM_001258369	DIAP3_HUMAN	Q9NSV4
NM_001258370	DIAP3_HUMAN	Q9NSV4
NM_030932	DIAP3_HUMAN	Q9NSV4
NM_030933	SHP1L_HUMAN	Q9BZQ2
NM_001202423	TRM1L_HUMAN	Q7Z2T5
NM_030934	TRM1L_HUMAN	Q7Z2T5
NM_001303043	B4DKI8_HUMAN	B4DKI8
NM_030935	B4DKI8_HUMAN	B4DKI8
NM_001303043	T22D4_HUMAN	Q9Y3Q8
NM_030935	T22D4_HUMAN	Q9Y3Q8
NM_001184996	A0A024RD87_HUMAN	A0A024RD87
NM_001184997	A0A024RD87_HUMAN	A0A024RD87
NM_030936	A0A024RD87_HUMAN	A0A024RD87
NM_001184996	RNF32_HUMAN	Q9H0A6
NM_001184997	RNF32_HUMAN	Q9H0A6
NM_001308273	RNF32_HUMAN	Q9H0A6
NM_001308274	RNF32_HUMAN	Q9H0A6
NM_030936	RNF32_HUMAN	Q9H0A6
NM_030937	A0A024R072_HUMAN	A0A024R072
NM_001039577	CCNL2_HUMAN	Q96S94
NM_030937	CCNL2_HUMAN	Q96S94
NM_030938	VMP1_HUMAN	Q96GC9
NM_030939	A0A024R026_HUMAN	A0A024R026
NM_030939	CF062_HUMAN	Q9GZU0
NM_030940	ISCA1_HUMAN	Q9BUE6
NM_001199053	A0A024R390_HUMAN	A0A024R390
NM_030941	A0A024R390_HUMAN	A0A024R390
NM_001144924	REXON_HUMAN	Q96IC2
NM_001199053	REXON_HUMAN	Q96IC2
NM_030941	REXON_HUMAN	Q96IC2
NM_030943	AMNLS_HUMAN	Q9BXJ7
NM_030946	O14J1_HUMAN	Q9UGF5
NM_001242648	PHAR1_HUMAN	Q9C0D0
NM_030948	PHAR1_HUMAN	Q9C0D0
NM_030949	PP14C_HUMAN	Q8TAE6
NM_030952	B4E0Y5_HUMAN	B4E0Y5
NM_030952	NUAK2_HUMAN	Q9H093
NM_001243253	TIGD6_HUMAN	Q17RP2
NM_030953	TIGD6_HUMAN	Q17RP2
NM_001160223	RN170_HUMAN	Q96K19
NM_001160224	RN170_HUMAN	Q96K19
NM_001160225	RN170_HUMAN	Q96K19
NM_030954	RN170_HUMAN	Q96K19
NM_030955	ATS12_HUMAN	P58397
NM_001017388	A0A024R9W4_HUMAN	A0A024R9W4
NM_001195106	A0A024R9W4_HUMAN	A0A024R9W4
NM_001195107	A0A024R9W4_HUMAN	A0A024R9W4
NM_030956	A0A024R9W4_HUMAN	A0A024R9W4
NM_001017388	TLR10_HUMAN	Q9BXR5
NM_001195106	TLR10_HUMAN	Q9BXR5
NM_001195107	TLR10_HUMAN	Q9BXR5
NM_001195108	TLR10_HUMAN	Q9BXR5
NM_030956	TLR10_HUMAN	Q9BXR5
NM_030957	A0A0A0MQW6_HUMAN	A0A0A0MQW6
NM_030957	Q59FE5_HUMAN	Q59FE5
NM_001282352	Q6ZN14_HUMAN	Q6ZN14
NM_030957	Q6ZN14_HUMAN	Q6ZN14
NM_001282352	ATS10_HUMAN	Q9H324
NM_030957	ATS10_HUMAN	Q9H324
NM_030958	B3KUC7_HUMAN	B3KUC7
NM_001146008	SO5A1_HUMAN	Q9H2Y9
NM_001146009	SO5A1_HUMAN	Q9H2Y9
NM_030958	SO5A1_HUMAN	Q9H2Y9
NM_030959	D2XT27_HUMAN	D2XT27
NM_030959	O12D3_HUMAN	Q9UGF7
NM_030960	SACA1_HUMAN	Q9HBV2
NM_030961	TRI56_HUMAN	Q9BRZ2
NM_030962	MTMRD_HUMAN	Q86WG5
NM_001242844	RN146_HUMAN	Q9NTX7
NM_001242845	RN146_HUMAN	Q9NTX7
NM_001242846	RN146_HUMAN	Q9NTX7
NM_001242849	RN146_HUMAN	Q9NTX7
NM_001242850	RN146_HUMAN	Q9NTX7
NM_001242851	RN146_HUMAN	Q9NTX7
NM_001242852	RN146_HUMAN	Q9NTX7
NM_030963	RN146_HUMAN	Q9NTX7
NM_030964	A0A0C4DFS6_HUMAN	A0A0C4DFS6
NM_001127496	SPY4_HUMAN	Q9C004
NM_001293289	SPY4_HUMAN	Q9C004
NM_001293290	SPY4_HUMAN	Q9C004
NM_030964	SPY4_HUMAN	Q9C004
NM_030965	SIA7E_HUMAN	Q9BVH7
NM_030966	KRA13_HUMAN	Q8IUG1
NM_030967	KRA11_HUMAN	Q07627
NM_030969	A0A024QZV7_HUMAN	A0A024QZV7
NM_001127711	TM14B_HUMAN	Q9NUH8
NM_001286484	TM14B_HUMAN	Q9NUH8
NM_030969	TM14B_HUMAN	Q9NUH8
NM_030971	SFXN3_HUMAN	Q9BWM7
NM_001161499	ZN611_HUMAN	Q8N823
NM_001161500	ZN611_HUMAN	Q8N823
NM_001161501	ZN611_HUMAN	Q8N823
NM_030972	ZN611_HUMAN	Q8N823
NM_030973	MED25_HUMAN	Q71SY5
NM_030974	Q6PJD5_HUMAN	Q6PJD5
NM_030974	SHRPN_HUMAN	Q9H0F6
NM_030975	KRA99_HUMAN	Q9BYP9
NM_030976	KRA46_HUMAN	Q9BYQ5
NM_030978	A0A024R897_HUMAN	A0A024R897
NM_030978	ARP5L_HUMAN	Q9BPX5
NM_030979	Q5VX58_HUMAN	Q5VX58
NM_030979	PABP3_HUMAN	Q9H361
NM_030981	RAB1B_HUMAN	Q9H0U4
NM_030984	A0A0A0MSK3_HUMAN	A0A0A0MSK3
NM_001061	THAS_HUMAN	P24557
NM_001130966	THAS_HUMAN	P24557
NM_001166253	THAS_HUMAN	P24557
NM_001166254	THAS_HUMAN	P24557
NM_030984	THAS_HUMAN	P24557
NM_031157	A0A024RAZ7_HUMAN	A0A024RAZ7
NM_002136	ROA1_HUMAN	P09651
NM_031157	ROA1_HUMAN	P09651
NM_001256369	CCR9_HUMAN	P51686
NM_006641	CCR9_HUMAN	P51686
NM_031200	CCR9_HUMAN	P51686
NM_005968	HNRPM_HUMAN	P52272
NM_031203	HNRPM_HUMAN	P52272
NM_001033677	CABP1_HUMAN	Q9NZU7
NM_004276	CABP1_HUMAN	Q9NZU7
NM_031205	CABP1_HUMAN	Q9NZU7
NM_001170649	LAS1L_HUMAN	Q9Y4W2
NM_001170650	LAS1L_HUMAN	Q9Y4W2
NM_031206	LAS1L_HUMAN	Q9Y4W2
NM_001190880	HYI_HUMAN	Q5T013
NM_001243526	HYI_HUMAN	Q5T013
NM_031207	HYI_HUMAN	Q5T013
NM_001018104	FAHD1_HUMAN	Q6P587
NM_001142398	FAHD1_HUMAN	Q6P587
NM_031208	FAHD1_HUMAN	Q6P587
NM_031209	Q71RF8_HUMAN	Q71RF8
NM_031209	TGT_HUMAN	Q9BXR0
NM_001267863	SLIRP_HUMAN	Q9GZT3
NM_001267864	SLIRP_HUMAN	Q9GZT3
NM_031210	SLIRP_HUMAN	Q9GZT3
NM_031212	MFRN2_HUMAN	Q96A46
NM_001130111	AB17A_HUMAN	Q96GS6
NM_031213	AB17A_HUMAN	Q96GS6
NM_031215	CABL2_HUMAN	Q9BTV7
NM_001013437	SEH1_HUMAN	Q96EE3
NM_031216	SEH1_HUMAN	Q96EE3
NM_031217	KI18A_HUMAN	Q8NI77
NM_031218	ZNF93_HUMAN	P35789
NM_031218	Q6NS90_HUMAN	Q6NS90
NM_001304509	HDHD3_HUMAN	Q9BSH5
NM_001304510	HDHD3_HUMAN	Q9BSH5
NM_001304511	HDHD3_HUMAN	Q9BSH5
NM_031219	HDHD3_HUMAN	Q9BSH5
NM_031220	PITM3_HUMAN	Q9BZ71
NM_000103	A0A024R5S8_HUMAN	A0A024R5S8
NM_031226	A0A024R5S8_HUMAN	A0A024R5S8
NM_031226	A8K6W3_HUMAN	A8K6W3
NM_000103	CP19A_HUMAN	P11511
NM_031226	CP19A_HUMAN	P11511
NM_031226	Q05CU4_HUMAN	Q05CU4
NM_000103	Q8TCA4_HUMAN	Q8TCA4
NM_031226	Q8TCA4_HUMAN	Q8TCA4
NM_006462	HOIL1_HUMAN	Q9BYM8
NM_031229	HOIL1_HUMAN	Q9BYM8
NM_031231	NECA3_HUMAN	Q96P71
NM_031232	NECA3_HUMAN	Q96P71
NM_031243	A0A024RA61_HUMAN	A0A024RA61
NM_002137	ROA2_HUMAN	P22626
NM_031243	ROA2_HUMAN	P22626
NM_001193267	SIR5_HUMAN	Q9NXA8
NM_001242827	SIR5_HUMAN	Q9NXA8
NM_012241	SIR5_HUMAN	Q9NXA8
NM_031244	SIR5_HUMAN	Q9NXA8
NM_031246	A0A024R0M4_HUMAN	A0A024R0M4
NM_031246	PSG2_HUMAN	P11465
NM_002140	HNRPK_HUMAN	P61978
NM_031262	HNRPK_HUMAN	P61978
NM_031263	HNRPK_HUMAN	P61978
NM_002140	Q6IBN1_HUMAN	Q6IBN1
NM_031263	Q6IBN1_HUMAN	Q6IBN1
NM_001171968	B4DV98_HUMAN	B4DV98
NM_021924	B4DV98_HUMAN	B4DV98
NM_031264	B4DV98_HUMAN	B4DV98
NM_031264	Q58EZ6_HUMAN	Q58EZ6
NM_001171968	CDHR5_HUMAN	Q9HBB8
NM_021924	CDHR5_HUMAN	Q9HBB8
NM_031264	CDHR5_HUMAN	Q9HBB8
NM_004499	ROAA_HUMAN	Q99729
NM_031266	ROAA_HUMAN	Q99729
NM_031267	A0A024RA66_HUMAN	A0A024RA66
NM_003718	CDK13_HUMAN	Q14004
NM_031267	CDK13_HUMAN	Q14004
NM_003718	Q9BVE2_HUMAN	Q9BVE2
NM_031267	Q9BVE2_HUMAN	Q9BVE2
NM_001261816	PDPK1_HUMAN	O15530
NM_002613	PDPK1_HUMAN	O15530
NM_031268	PDPK1_HUMAN	O15530
NM_031271	TEX15_HUMAN	Q9BXT5
NM_031273	TX13B_HUMAN	Q9BXU2
NM_001291277	TX13A_HUMAN	Q9BXU3
NM_031274	TX13A_HUMAN	Q9BXU3
NM_031275	A0A024R3E7_HUMAN	A0A024R3E7
NM_031275	TEX12_HUMAN	Q9BXU0
NM_001003811	TEX11_HUMAN	Q8IYF3
NM_031276	TEX11_HUMAN	Q8IYF3
NM_031277	RNF17_HUMAN	Q9BXT8
NM_001146590	AT2L1_HUMAN	Q8TBG4
NM_001146627	AT2L1_HUMAN	Q8TBG4
NM_031279	AT2L1_HUMAN	Q8TBG4
NM_031280	RT15_HUMAN	P82914
NM_001195388	FCRL5_HUMAN	Q96RD9
NM_031281	FCRL5_HUMAN	Q96RD9
NM_031282	FCRL4_HUMAN	Q96PJ5
NM_031283	TF7L1_HUMAN	Q9HCS4
NM_031284	ADPGK_HUMAN	Q9BRR6
NM_031286	SH3L3_HUMAN	Q9H299
NM_031287	SF3B5_HUMAN	Q9BWJ5
NM_031288	IN80B_HUMAN	Q9C086
NM_031289	F1T0A0_HUMAN	F1T0A0
NM_001080554	GSG1_HUMAN	Q2KHT4
NM_001206842	GSG1_HUMAN	Q2KHT4
NM_001206843	GSG1_HUMAN	Q2KHT4
NM_001206845	GSG1_HUMAN	Q2KHT4
NM_031289	GSG1_HUMAN	Q2KHT4
NM_031290	CCD70_HUMAN	Q6NSX1
NM_031291	ADT4_HUMAN	Q9H0C2
NM_001098614	PUS7L_HUMAN	Q9H0K6
NM_001098615	PUS7L_HUMAN	Q9H0K6
NM_001271826	PUS7L_HUMAN	Q9H0K6
NM_031292	PUS7L_HUMAN	Q9H0K6
NM_001160213	PMFBP_HUMAN	Q8TBY8
NM_031293	PMFBP_HUMAN	Q8TBY8
NM_001130090	B3KSC6_HUMAN	B3KSC6
NM_031294	B3KSC6_HUMAN	B3KSC6
NM_001130090	LRC48_HUMAN	Q9H069
NM_001130091	LRC48_HUMAN	Q9H069
NM_001130092	LRC48_HUMAN	Q9H069
NM_031294	LRC48_HUMAN	Q9H069
NM_031296	RB33B_HUMAN	Q9H082
NM_031297	RN208_HUMAN	Q9H0X6
NM_001014764	EMC6_HUMAN	Q9BV81
NM_031298	EMC6_HUMAN	Q9BV81
NM_001297602	CDCA3_HUMAN	Q99618
NM_001297603	CDCA3_HUMAN	Q99618
NM_001297604	CDCA3_HUMAN	Q99618
NM_031299	CDCA3_HUMAN	Q99618
NM_031300	A0A024R7S0_HUMAN	A0A024R7S0
NM_001142935	MAD3_HUMAN	Q9BW11
NM_031300	MAD3_HUMAN	Q9BW11
NM_001145646	APH1B_HUMAN	Q8WW43
NM_031301	APH1B_HUMAN	Q8WW43
NM_031302	GL8D2_HUMAN	Q9H1C3
NM_031303	KATL2_HUMAN	Q8IYT4
NM_001145165	DOHH_HUMAN	Q9BU89
NM_031304	DOHH_HUMAN	Q9BU89
NM_001025616	RHG24_HUMAN	Q8N264
NM_001042669	RHG24_HUMAN	Q8N264
NM_031305	RHG24_HUMAN	Q8N264
NM_001271985	PUS3_HUMAN	Q9BZE2
NM_031307	PUS3_HUMAN	Q9BZE2
NM_031308	A0A087X1U6_HUMAN	A0A087X1U6
NM_031308	EPIPL_HUMAN	P58107
NM_031309	SCRT1_HUMAN	Q9BWW7
NM_031310	PLVAP_HUMAN	Q9BX97
NM_019029	A0A024RA40_HUMAN	A0A024RA40
NM_031311	A0A024RA40_HUMAN	A0A024RA40
NM_019029	CPVL_HUMAN	Q9H3G5
NM_031311	CPVL_HUMAN	Q9H3G5
NM_031313	PPBN_HUMAN	P10696
NM_001077442	HNRPC_HUMAN	P07910
NM_001077443	HNRPC_HUMAN	P07910
NM_004500	HNRPC_HUMAN	P07910
NM_031314	HNRPC_HUMAN	P07910
NM_031361	A0A024RAJ5_HUMAN	A0A024RAJ5
NM_001130105	C43BP_HUMAN	Q9Y5P4
NM_005713	C43BP_HUMAN	Q9Y5P4
NM_031361	C43BP_HUMAN	Q9Y5P4
NM_031369	A0A024RDB4_HUMAN	A0A024RDB4
NM_031370	A0A024RDF3_HUMAN	A0A024RDF3
NM_001003810	HNRPD_HUMAN	Q14103
NM_002138	HNRPD_HUMAN	Q14103
NM_031369	HNRPD_HUMAN	Q14103
NM_031370	HNRPD_HUMAN	Q14103
NM_001206794	ARI4B_HUMAN	Q4LE39
NM_016374	ARI4B_HUMAN	Q4LE39
NM_031371	ARI4B_HUMAN	Q4LE39
NM_031372	A0A024RDF6_HUMAN	A0A024RDF6
NM_001207000	HNRDL_HUMAN	O14979
NM_031372	HNRDL_HUMAN	O14979
NM_031407	A0A024R9W5_HUMAN	A0A024R9W5
NM_031407	HUWE1_HUMAN	Q7Z6Z7
NM_004367	CCR6_HUMAN	P51684
NM_031409	CCR6_HUMAN	P51684
NM_018900	PCDA1_HUMAN	Q9Y5I3
NM_031410	PCDA1_HUMAN	Q9Y5I3
NM_031411	PCDA1_HUMAN	Q9Y5I3
NM_031412	A0A024RAP5_HUMAN	A0A024RAP5
NM_031412	GBRL1_HUMAN	Q9H0R8
NM_031415	GSDMC_HUMAN	Q9BYG8
NM_001199867	MARK4_HUMAN	Q96L34
NM_031417	MARK4_HUMAN	Q96L34
NM_031418	ANO3_HUMAN	Q9BYT9
NM_001005474	IKBZ_HUMAN	Q9BYH8
NM_031419	IKBZ_HUMAN	Q9BYH8
NM_001300733	RM09_HUMAN	Q9BYD2
NM_031420	RM09_HUMAN	Q9BYD2
NM_031421	TTC25_HUMAN	Q96NG3
NM_031422	A0A024RC28_HUMAN	A0A024RC28
NM_001256316	CHST9_HUMAN	Q7L1S5
NM_031422	CHST9_HUMAN	Q7L1S5
NM_001185095	AIF1L_HUMAN	Q9BQI0
NM_001185096	AIF1L_HUMAN	Q9BQI0
NM_031426	AIF1L_HUMAN	Q9BQI0
NM_001201366	DNAL1_HUMAN	Q4LDG9
NM_031427	DNAL1_HUMAN	Q4LDG9
NM_001080997	RTBDN_HUMAN	Q9BSG5
NM_001270441	RTBDN_HUMAN	Q9BSG5
NM_001270442	RTBDN_HUMAN	Q9BSG5
NM_001270443	RTBDN_HUMAN	Q9BSG5
NM_001270444	RTBDN_HUMAN	Q9BSG5
NM_001270445	RTBDN_HUMAN	Q9BSG5
NM_031429	RTBDN_HUMAN	Q9BSG5
NM_031430	RILP_HUMAN	Q96NA2
NM_031431	COG3_HUMAN	Q96JB2
NM_001135954	UCK1_HUMAN	Q9HA47
NM_001261450	UCK1_HUMAN	Q9HA47
NM_001261451	UCK1_HUMAN	Q9HA47
NM_031432	UCK1_HUMAN	Q9HA47
NM_031433	MFRP_HUMAN	Q9BY79
NM_001136044	A0A090N8Q3_HUMAN	A0A090N8Q3
NM_031434	A0A090N8Q3_HUMAN	A0A090N8Q3
NM_001136044	TMUB1_HUMAN	Q9BVT8
NM_031434	TMUB1_HUMAN	Q9BVT8
NM_031435	THAP2_HUMAN	Q9H0W7
NM_001300741	B4E1W3_HUMAN	B4E1W3
NM_031438	B4E1W3_HUMAN	B4E1W3
NM_001300741	NUD12_HUMAN	Q9BQG2
NM_031438	NUD12_HUMAN	Q9BQG2
NM_031439	SOX7_HUMAN	Q9BT81
NM_031440	RTP3_HUMAN	Q9BQQ7
NM_031442	A0A024RBY7_HUMAN	A0A024RBY7
NM_031442	TMM47_HUMAN	Q9BQJ4
NM_001029835	CCM2_HUMAN	Q9BSQ5
NM_001167934	CCM2_HUMAN	Q9BSQ5
NM_001167935	CCM2_HUMAN	Q9BSQ5
NM_031443	CCM2_HUMAN	Q9BSQ5
NM_001284251	GUCD1_HUMAN	Q96NT3
NM_001284252	GUCD1_HUMAN	Q96NT3
NM_001284254	GUCD1_HUMAN	Q96NT3
NM_001284255	GUCD1_HUMAN	Q96NT3
NM_001284256	GUCD1_HUMAN	Q96NT3
NM_001284257	GUCD1_HUMAN	Q96NT3
NM_031444	GUCD1_HUMAN	Q96NT3
NM_001199140	A0A024RAG1_HUMAN	A0A024RAG1
NM_031445	A0A024RAG1_HUMAN	A0A024RAG1
NM_001199140	AMERL_HUMAN	Q6DCA0
NM_031445	AMERL_HUMAN	Q6DCA0
NM_001201474	CR021_HUMAN	Q32NC0
NM_001201475	CR021_HUMAN	Q32NC0
NM_031446	CR021_HUMAN	Q32NC0
NM_001031726	CS012_HUMAN	Q9NSK7
NM_001256046	CS012_HUMAN	Q9NSK7
NM_001256047	CS012_HUMAN	Q9NSK7
NM_001282929	CS012_HUMAN	Q9NSK7
NM_001282930	CS012_HUMAN	Q9NSK7
NM_001282931	CS012_HUMAN	Q9NSK7
NM_031448	CS012_HUMAN	Q9NSK7
NM_001135635	CK068_HUMAN	Q9H3H3
NM_031450	CK068_HUMAN	Q9H3H3
NM_031451	A0A024R0T7_HUMAN	A0A024R0T7
NM_001130011	TX101_HUMAN	Q9BY14
NM_031451	TX101_HUMAN	Q9BY14
NM_031452	RAM_HUMAN	Q9BTL3
NM_001282695	F107B_HUMAN	Q9H098
NM_001282696	F107B_HUMAN	Q9H098
NM_001282697	F107B_HUMAN	Q9H098
NM_001282698	F107B_HUMAN	Q9H098
NM_001282699	F107B_HUMAN	Q9H098
NM_001282700	F107B_HUMAN	Q9H098
NM_001282701	F107B_HUMAN	Q9H098
NM_001282702	F107B_HUMAN	Q9H098
NM_001282703	F107B_HUMAN	Q9H098
NM_031453	F107B_HUMAN	Q9H098
NM_031454	SELO_HUMAN	Q9BVL4
NM_001282658	CCDC3_HUMAN	Q9BQI4
NM_031455	CCDC3_HUMAN	Q9BQI4
NM_031457	M4A8_HUMAN	Q9BY19
NM_001146102	PARP9_HUMAN	Q8IXQ6
NM_001146103	PARP9_HUMAN	Q8IXQ6
NM_001146104	PARP9_HUMAN	Q8IXQ6
NM_001146105	PARP9_HUMAN	Q8IXQ6
NM_031458	PARP9_HUMAN	Q8IXQ6
NM_031459	SESN2_HUMAN	P58004
NM_001135111	KCNKH_HUMAN	Q96T54
NM_031460	KCNKH_HUMAN	Q96T54
NM_001286777	CRLD1_HUMAN	Q9H336
NM_031461	CRLD1_HUMAN	Q9H336
NM_031462	A0A024RC16_HUMAN	A0A024RC16
NM_001146051	I6L975_HUMAN	I6L975
NM_031463	I6L975_HUMAN	I6L975
NM_001146051	HSDL1_HUMAN	Q3SXM5
NM_031463	HSDL1_HUMAN	Q3SXM5
NM_031464	B4DSP6_HUMAN	B4DSP6
NM_031464	RPKL1_HUMAN	Q9Y6S9
NM_001160372	TPPC9_HUMAN	Q96Q05
NM_031466	TPPC9_HUMAN	Q96Q05
NM_001258426	B3A4_HUMAN	Q96Q91
NM_001258427	B3A4_HUMAN	Q96Q91
NM_001258428	B3A4_HUMAN	Q96Q91
NM_031467	B3A4_HUMAN	Q96Q91
NM_001017440	CABP8_HUMAN	Q9BXU9
NM_031468	CABP8_HUMAN	Q9BXU9
NM_031469	SH3L2_HUMAN	Q9UJC5
NM_031472	A0A024R5C2_HUMAN	A0A024R5C2
NM_001033678	TRPT1_HUMAN	Q86TN4
NM_001160389	TRPT1_HUMAN	Q86TN4
NM_001160390	TRPT1_HUMAN	Q86TN4
NM_001160392	TRPT1_HUMAN	Q86TN4
NM_001160393	TRPT1_HUMAN	Q86TN4
NM_031472	TRPT1_HUMAN	Q86TN4
NM_001143779	IFT81_HUMAN	Q8WYA0
NM_014055	IFT81_HUMAN	Q8WYA0
NM_031473	IFT81_HUMAN	Q8WYA0
NM_031474	NRIP2_HUMAN	Q9BQI9
NM_031475	ESPN_HUMAN	B1AK53
NM_031476	CRLD2_HUMAN	Q9H0B8
NM_001145524	YPEL3_HUMAN	P61236
NM_031477	YPEL3_HUMAN	P61236
NM_031478	F1T0F5_HUMAN	F1T0F5
NM_031478	FA57B_HUMAN	Q71RH2
NM_031479	INHBE_HUMAN	P58166
NM_031480	RIOK1_HUMAN	Q9BRS2
NM_001303484	A0A024R0W0_HUMAN	A0A024R0W0
NM_031481	A0A024R0W0_HUMAN	A0A024R0W0
NM_001303484	GHC2_HUMAN	Q9H1K4
NM_031481	GHC2_HUMAN	Q9H1K4
NM_001131028	ATG10_HUMAN	Q9H0Y0
NM_031482	ATG10_HUMAN	Q9H0Y0
NM_001257137	ITCH_HUMAN	Q96J02
NM_001257138	ITCH_HUMAN	Q96J02
NM_031483	ITCH_HUMAN	Q96J02
NM_031484	MALD1_HUMAN	Q9BSK0
NM_031485	A0MNN5_HUMAN	A0MNN5
NM_031485	GRWD1_HUMAN	Q9BQ67
NM_001007101	ZN484_HUMAN	Q5JVG2
NM_001261458	ZN484_HUMAN	Q5JVG2
NM_001261459	ZN484_HUMAN	Q5JVG2
NM_001261460	ZN484_HUMAN	Q5JVG2
NM_031486	ZN484_HUMAN	Q5JVG2
NM_031488	LMBL2_HUMAN	Q969R5
NM_001300948	LONP2_HUMAN	Q86WA8
NM_031490	LONP2_HUMAN	Q86WA8
NM_031491	RET5_HUMAN	P82980
NM_001286135	RBM4B_HUMAN	Q9BQ04
