P01023	A2MG_HUMAN	NM_000014
A0A024RDV4	A0A024RDV4_HUMAN	NM_178006
Q9Y3M8	STA13_HUMAN	NM_001243466,NM_001243474,NM_001243476,NM_052851,NM_178006,NM_178007
Q86XP1	DGKH_HUMAN	NM_001204504,NM_001204505,NM_001204506,NM_001297429,NM_152910,NM_178009
P35711	SOX5_HUMAN	NM_001261414,NM_001261415,NM_006940,NM_152989,NM_178010
Q86VH5	LRRT3_HUMAN	NM_178011
Q9BVA1	TBB2B_HUMAN	NM_178012
A0A024R6J9	A0A024R6J9_HUMAN	NM_178013
Q86XR5	PRIMA_HUMAN	NM_178013
P07437	TBB5_HUMAN	NM_001293212,NM_001293213,NM_001293214,NM_001293215,NM_001293216,NM_178014
Q5SU16	Q5SU16_HUMAN	NM_178014
Q86XQ3	CTSR3_HUMAN	NM_178019
A0PJJ9	A0PJJ9_HUMAN	NM_178026
Q9UJ14	GGT7_HUMAN	NM_178026
Q24JP5	T132A_HUMAN	NM_017870,NM_178031
Q8N118	CP4X1_HUMAN	NM_178033
Q86XP0	PA24D_HUMAN	NM_178034
Q8IUD2	RB6I2_HUMAN	NM_178039,NM_178040
O96019	ACL6A_HUMAN	NM_004301,NM_177989,NM_178042
Q659C4	LAR1B_HUMAN	NM_001278604,NM_018078,NM_032239,NM_178043
Q9BQ83	SLX1_HUMAN	NM_001014999,NM_001015000,NM_024044,NM_178044
P56177	DLX1_HUMAN	NM_001038493,NM_178120
X5D2F9	X5D2F9_HUMAN	NM_178120
Q5TH74	STPG1_HUMAN	NM_001199012,NM_001199013,NM_001199014,NM_178122
B3KTX3	B3KTX3_HUMAN	NM_178123
Q86VW0	SESD1_HUMAN	NM_178123
Q8TE69	CX04A_HUMAN	NM_001171907,NM_001171908,NM_001171909,NM_178124
Q2M204	Q2M204_HUMAN	NM_001281451,NM_178125
Q86XT4	TRI50_HUMAN	NM_001281450,NM_001281451,NM_178125
Q86VR2	F134C_HUMAN	NM_178126
Q86XS5	ANGL5_HUMAN	NM_178127
A0A087WYB9	A0A087WYB9_HUMAN	NM_178128
Q8N9I5	FADS6_HUMAN	NM_178128
Q86VZ1	P2RY8_HUMAN	NM_178129
Q86XW9	TXND6_HUMAN	NM_178130
Q86W10	CP4Z1_HUMAN	NM_178134
Q7Z5P4	DHB13_HUMAN	NM_001136230,NM_178135
Q9BY77	PDIP3_HUMAN	NM_032311,NM_178136
F1T0D5	F1T0D5_HUMAN	NM_178138
Q9UBR4	LHX3_HUMAN	NM_014564,NM_178138
A0A024RE15	A0A024RE15_HUMAN	NM_178140
O15018	PDZD2_HUMAN	NM_178140
Q8TB61	S35B2_HUMAN	NM_001286509,NM_001286510,NM_001286511,NM_001286512,NM_001286513,NM_001286517,NM_001286519,NM_001286520,NM_178148
Q8NFZ0	FBX18_HUMAN	NM_001258452,NM_001258453,NM_032807,NM_178150
O43602	DCX_HUMAN	NM_000555,NM_178151,NM_178152,NM_178153
A8K8P8	A8K8P8_HUMAN	NM_178155
Q546E0	Q546E0_HUMAN	NM_004480,NM_178155,NM_178156
Q9BYC5	FUT8_HUMAN	NM_004480,NM_178155,NM_178156
Q7RTS6	OTOP2_HUMAN	NM_178160
Q7RTS3	PTF1A_HUMAN	NM_178161
Q86UK7	ZN598_HUMAN	NM_178167
Q9H207	O10A5_HUMAN	NM_178168
Q86WH2	RASF3_HUMAN	NM_178169
Q86SG6	NEK8_HUMAN	NM_178170
Q96QA5	GSDMA_HUMAN	NM_178171
Q8IV16	HDBP1_HUMAN	NM_001301772,NM_178172
Q8IYA8	CCD36_HUMAN	NM_001135197,NM_178173
Q86YW5	TRML1_HUMAN	NM_001271807,NM_001271808,NM_178174
Q86WI0	LHPL1_HUMAN	NM_178175
Q86VF5	MOGT3_HUMAN	NM_001287147,NM_178176
Q96T66	NMNA3_HUMAN	NM_001200047,NM_178177
Q9H5V8	CDCP1_HUMAN	NM_022842,NM_178181
Q9UII2	ATIF1_HUMAN	NM_016311,NM_178190,NM_178191
Q96DT6	ATG4C_HUMAN	NM_032852,NM_178221
Q86VI3	IQGA3_HUMAN	NM_178229
A0A024RC58	A0A024RC58_HUMAN	NM_178232
A8K7T8	A8K7T8_HUMAN	NM_001307952,NM_178232
Q96S86	HPLN3_HUMAN	NM_001307952,NM_178232
Q7RTS5	OTOP3_HUMAN	NM_001272005,NM_178233
Q13454	TUSC3_HUMAN	NM_006765,NM_178234
A0A024RDA1	A0A024RDA1_HUMAN	NM_178237
Q9NV70	EXOC1_HUMAN	NM_001024924,NM_018261,NM_178237
A0A0A6YYB5	A0A0A6YYB5_HUMAN	NM_178238
Q9UKJ0	PILRB_HUMAN	NM_178238
Q8WYN0	ATG4A_HUMAN	NM_052936,NM_178270
Q9UKJ1	PILRA_HUMAN	NM_013439,NM_178272,NM_178273
Q86VE9	SERC5_HUMAN	NM_001174071,NM_001174072,NM_178276
Q3KNW1	SNAI3_HUMAN	NM_178310
Q9BX51	GGTL1_HUMAN	NM_178311,NM_178312
Q01082	SPTB2_HUMAN	NM_003128,NM_178313
Q5EBL4	RIPL1_HUMAN	NM_178314
O15269	SPTC1_HUMAN	NM_001281303,NM_006415,NM_178324
Q9Y4P1	ATG4B_HUMAN	NM_013325,NM_178326
A0A024R2Z3	A0A024R2Z3_HUMAN	NM_001837,NM_178329
P51677	CCR3_HUMAN	NM_001837,NM_178328,NM_178329
O43555	GON2_HUMAN	NM_001501,NM_178331,NM_178332
Q8IVM0	CCD50_HUMAN	NM_174908,NM_178335
Q8IVJ6	Q8IVJ6_HUMAN	NM_178339
Q8IU91	Q8IU91_HUMAN	NM_001302831,NM_001302832,NM_178344
Q8IVJ8	APRG1_HUMAN	NM_001302831,NM_001302832,NM_178339,NM_178342,NM_178344
Q5T7P2	LCE1A_HUMAN	NM_178348
Q5T7P3	LCE1B_HUMAN	NM_178349
Q5T751	LCE1C_HUMAN	NM_178351
Q5T752	LCE1D_HUMAN	NM_178352
Q5T753	LCE1E_HUMAN	NM_178353
Q5T754	LCE1F_HUMAN	NM_178354
Q5TA78	LCE4A_HUMAN	NM_178356
Q86WK9	MPRA_HUMAN	NM_178422
O94993	SOX30_HUMAN	NM_001308165,NM_007017,NM_178424
Q9UKV0	HDAC9_HUMAN	NM_001204144,NM_001204145,NM_001204146,NM_001204147,NM_001204148,NM_014707,NM_058176,NM_178423,NM_178425
B0AZM1	B0AZM1_HUMAN	NM_178427
P27540	ARNT_HUMAN	NM_001197325,NM_001286035,NM_001286036,NM_001668,NM_178427
Q5TA79	LCE2A_HUMAN	NM_178428
Q5TA81	LCE2C_HUMAN	NM_178429
Q5TA82	LCE2D_HUMAN	NM_178430
Q5TA76	LCE3A_HUMAN	NM_178431
Q8IZL9	CDK20_HUMAN	NM_001039803,NM_001170639,NM_001170640,NM_012119,NM_178432
Q5TA77	LCE3B_HUMAN	NM_178433
Q5T5A8	LCE3C_HUMAN	NM_178434
Q5T5B0	LCE3E_HUMAN	NM_178435
Q5TCM9	LCE5A_HUMAN	NM_178438
Q53SE7	Q53SE7_HUMAN	NM_178439
Q96IK5	GMCL1_HUMAN	NM_178439
Q9HBF4	ZFYV1_HUMAN	NM_001281734,NM_001281735,NM_021260,NM_178441
Q86UX7	URP2_HUMAN	NM_031471,NM_178443
Q9NPB9	ACKR4_HUMAN	NM_016557,NM_178445
Q86UD0	SAPC2_HUMAN	NM_178448
Q96A98	TIP39_HUMAN	NM_178449
Q86UD3	MARH3_HUMAN	NM_178450
Q8NEP3	DAAF1_HUMAN	NM_178452
A0A024R0B7	A0A024R0B7_HUMAN	NM_178454
Q6UX65	DRAM2_HUMAN	NM_178454
Q6UDR6	SPIT4_HUMAN	NM_178455
Q9H1P6	CT085_HUMAN	NM_178456
Q5JPB2	ZN831_HUMAN	NM_178457
Q9H106	SIRPD_HUMAN	NM_178460
Q9H1L0	MI1HG_HUMAN	NM_001302812,NM_178463
Q9BQP9	BPIA3_HUMAN	NM_001042439,NM_178466
Q9BQN1	FA83C_HUMAN	NM_178468
Q6JVE9	LCN8_HUMAN	NM_178469
Q6ZT51	Q6ZT51_HUMAN	NM_178469
Q5VU92	DC121_HUMAN	NM_178470
Q8TDV5	GP119_HUMAN	NM_178471
Q9H503	BAFL_HUMAN	NM_001014977,NM_001159495,NM_178477
Q9UJQ7	SCP2D_HUMAN	NM_178483
Q9H3Y0	CRSPL_HUMAN	NM_178491
Q6P988	NOTUM_HUMAN	NM_178493
Q6GPH6	IPIL1_HUMAN	NM_001008949,NM_001163523,NM_001163524,NM_178495
Q8IYB1	M21D2_HUMAN	NM_178496
Q17RF5	CD026_HUMAN	NM_001206981,NM_001257072,NM_178497
Q1EHB4	SC5AC_HUMAN	NM_178498
Q8IWA6	CCD60_HUMAN	NM_178499
Q8TCT1	PHOP1_HUMAN	NM_001143804,NM_178500
A0A024RB96	A0A024RB96_HUMAN	NM_001286246,NM_178502
Q8N9I9	DTX3_HUMAN	NM_001286245,NM_001286246,NM_178502
Q6ZUK4	TMM26_HUMAN	NM_178505
Q86UD1	OAF_HUMAN	NM_178507
Q86T20	CF001_HUMAN	NM_001008703,NM_001008704,NM_001287396,NM_178508
Q6ZWJ1	STXB4_HUMAN	NM_178509
Q8NFD2	ANKK1_HUMAN	NM_178510
C9JVW0	INAM1_HUMAN	NM_178511
A0A024R6U6	A0A024R6U6_HUMAN	NM_178516
Q86VI1	EX3L1_HUMAN	NM_178516
Q7Z7B1	PIGW_HUMAN	NM_178517
Q8N9M5	TM102_HUMAN	NM_178518
Q8N8V8	TM105_HUMAN	NM_178520
Q08AN1	ZN616_HUMAN	NM_178523
Q8TC94	ACTL9_HUMAN	NM_178525
A0A024R7K2	A0A024R7K2_HUMAN	NM_178526
Q86VD7	S2542_HUMAN	NM_178526
Q8NHH2	Q8NHH2_HUMAN	NM_178526
B3KXW8	B3KXW8_HUMAN	NM_178527
Q5TAH2	SL9C2_HUMAN	NM_178527
Q86T96	RN180_HUMAN	NM_001113561,NM_178532
Q6JVE5	LCN12_HUMAN	NM_178536
Q76KP1	B4GN4_HUMAN	NM_178537
Q8N3H0	F19A2_HUMAN	NM_178539
P0C862	C1T9A_HUMAN	NM_001303137,NM_001303138,NM_178540
Q6UWV6	ENPP7_HUMAN	NM_178543
B3KVL3	B3KVL3_HUMAN	NM_001297763,NM_178544
Q86UE3	ZN546_HUMAN	NM_001297763,NM_178544
Q8NDY8	TMM52_HUMAN	NM_178545
A8K0B5	A8K0B5_HUMAN	NM_178547
Q8IWT0	ARCH_HUMAN	NM_001308136,NM_001308139,NM_178547
Q6VUC0	AP2E_HUMAN	NM_178548
Q86UF4	CA110_HUMAN	NM_178550
O43247	TEX33_HUMAN	NM_001163857,NM_178552
Q53SZ7	PRR30_HUMAN	NM_178553
Q8NBH2	KY_HUMAN	NM_178554
Q8N9V2	TRIML_HUMAN	NM_178556
Q8N9F0	NAT8L_HUMAN	NM_178557
Q8NEM1	ZN680_HUMAN	NM_001130022,NM_178558
Q2M3G0	ABCB5_HUMAN	NM_001163941,NM_001163942,NM_001163993,NM_178559
Q86UF2	CTGE6_HUMAN	NM_178561
Q86UF1	TSN33_HUMAN	NM_178562
Q8NEM8	CBPC3_HUMAN	NM_178563
Q9NSY0	NRBP2_HUMAN	NM_178564
B3KVP3	B3KVP3_HUMAN	NM_178565
Q6UXX9	RSPO2_HUMAN	NM_001282863,NM_178565
Q8IVQ6	ZDH21_HUMAN	NM_178566
Q86UN2	R4RL1_HUMAN	NM_178568
Q86SI9	CEI_HUMAN	NM_001294337,NM_001306149,NM_178569
Q86UN3	R4RL2_HUMAN	NM_178570
Q86UD7	TBC26_HUMAN	NM_178571
Q92530	PSMF1_HUMAN	NM_006814,NM_178578
A0A0C4DGU3	A0A0C4DGU3_HUMAN	NM_178582
Q8TCT9	HM13_HUMAN	NM_030789,NM_178580,NM_178581,NM_178582
Q9P0V9	SEP10_HUMAN	NM_144710,NM_178584
Q13362	2A5G_HUMAN	NM_001161725,NM_001161726,NM_002719,NM_178586,NM_178587
A0A024R9D2	A0A024R9D2_HUMAN	NM_178812
Q86UE4	LYRIC_HUMAN	NM_178812
Q86UN6	AKA28_HUMAN	NM_001008534,NM_001008535,NM_178813
B0YIW9	B0YIW9_HUMAN	NM_178815
Q96KC2	ARL5B_HUMAN	NM_178815
Q2TU73	Q2TU73_HUMAN	NM_178819
Q86UL3	GPAT4_HUMAN	NM_178819
Q8NI29	FBX27_HUMAN	NM_178820
Q8N136	DAW1_HUMAN	NM_178821
Q6WRI0	IGS10_HUMAN	NM_001178145,NM_001178146,NM_178822
Q8IV35	WDR49_HUMAN	NM_178824
Q32M45	ANO4_HUMAN	NM_001286615,NM_001286616,NM_178826
A0A024R771	A0A024R771_HUMAN	NM_001282855,NM_178827
Q8NA54	IQUB_HUMAN	NM_001282855,NM_178827
Q6ZUB1	S31E1_HUMAN	NM_178828
A0A0G2JPS5	A0A0G2JPS5_HUMAN	NM_178829
Q96L11	CG034_HUMAN	NM_178829
Q8NAP1	GATS_HUMAN	NM_178831
A6XB87	A6XB87_HUMAN	NM_001098831,NM_178832
Q8NDC4	MORN4_HUMAN	NM_001098831,NM_178832
A0A024RDJ7	A0A024RDJ7_HUMAN	NM_178833
B7Z488	B7Z488_HUMAN	NM_001300754,NM_001300756,NM_178833
Q86UD5	SL9B2_HUMAN	NM_001300756,NM_178833
Q6UX15	LAYN_HUMAN	NM_001258390,NM_001258391,NM_178834
B3KSR1	B3KSR1_HUMAN	NM_001306215,NM_178835
Q17R98	ZN827_HUMAN	NM_001306215,NM_178835
Q8N2A8	PLD6_HUMAN	NM_178836
A0A0A0MS19	A0A0A0MS19_HUMAN	NM_178837
Q8N9W5	DAAF3_HUMAN	NM_001256714,NM_001256715,NM_001256716,NM_178837
Q86UE6	LRRT1_HUMAN	NM_178839
Q8NEQ6	CA064_HUMAN	NM_178840
Q96A37	RN166_HUMAN	NM_001171815,NM_001171816,NM_178841
Q8IU89	CERS3_HUMAN	NM_001290341,NM_001290342,NM_001290343,NM_178842
C3VPR7	C3VPR7_HUMAN	NM_178844
Q7RTR2	NLRC3_HUMAN	NM_178844
Q8NF06	Q8NF06_HUMAN	NM_178844
F1D8S2	F1D8S2_HUMAN	NM_178849
P41235	HNF4A_HUMAN	NM_000457,NM_001030003,NM_001030004,NM_001258355,NM_001287182,NM_001287183,NM_001287184,NM_175914,NM_178850
A6NKC6	A6NKC6_HUMAN	NM_178857
Q96NB2	SFXN2_HUMAN	NM_178858
Q86UW2	OSTB_HUMAN	NM_178859
Q53EL9	SEZ6_HUMAN	NM_001098635,NM_001290202,NM_178860
Q8IZP6	R113B_HUMAN	NM_178861
Q8TCJ2	STT3B_HUMAN	NM_178862
Q8WZ19	BACD1_HUMAN	NM_178863
Q8IUM7	NPAS4_HUMAN	NM_178864
Q96IM8	Q96IM8_HUMAN	NM_001199037,NM_001199038,NM_001199039,NM_018565,NM_178865
Q96SA4	SERC2_HUMAN	NM_001199037,NM_001199038,NM_001199039,NM_018565,NM_178865
Q8IZV2	CKLF8_HUMAN	NM_178868
Q16560	U1SBP_HUMAN	NM_022717,NM_180699
Q14738	2A5D_HUMAN	NM_001270476,NM_006245,NM_180976,NM_180977
Q86V85	GP180_HUMAN	NM_180989
Q401N2	ZACN_HUMAN	NM_180990
Q6ZQN7	SO4C1_HUMAN	NM_180991
O15169	AXIN1_HUMAN	NM_003502,NM_181050
Q16665	HIF1A_HUMAN	NM_001243084,NM_001530,NM_181054
A7E2F4	GOG8A_HUMAN	NM_181077
Q9HBE5	IL21R_HUMAN	NM_021798,NM_181078,NM_181079
Q8IZE3	PACE1_HUMAN	NM_020423,NM_181093
Q8IZU2	WDR17_HUMAN	NM_170710,NM_181265
E9PAX0	E9PAX0_HUMAN	NM_181268
Q8IZ96	CKLF1_HUMAN	NM_052999,NM_181268,NM_181269,NM_181270,NM_181271,NM_181272,NM_181283,NM_181296
Q9NZ94	NLGN3_HUMAN	NM_001166660,NM_018977,NM_181303
X5DNV3	X5DNV3_HUMAN	NM_181303
Q86TS9	RM52_HUMAN	NM_178336,NM_180982,NM_181304,NM_181305,NM_181306,NM_181307
Q8TBZ3	WDR20_HUMAN	NM_001242414,NM_001242415,NM_001242416,NM_001242417,NM_001242418,NM_144574,NM_181291,NM_181308
Q969J5	I22R2_HUMAN	NM_052962,NM_181309,NM_181310
Q16635	TAZ_HUMAN	NM_000116,NM_001303465,NM_181311,NM_181312,NM_181313
A0A024RBV0	A0A024RBV0_HUMAN	NM_001282145,NM_001282146,NM_020742,NM_181332
Q8N0W4	NLGNX_HUMAN	NM_001282145,NM_001282146,NM_020742,NM_181332
A8K699	A8K699_HUMAN	NM_181333
P85299	PRR5_HUMAN	NM_001017528,NM_001017529,NM_001017530,NM_001198721,NM_015366,NM_181333
B1AHC3	B1AHC3_HUMAN	NM_181334
P85298	RHG08_HUMAN	NM_001017526,NM_001198726,NM_181335
Q6PJW1	Q6PJW1_HUMAN	NM_001017526,NM_181335
A0A024RCZ1	A0A024RCZ1_HUMAN	NM_181336
Q8NC56	LEMD2_HUMAN	NM_001143944,NM_181336
Q9UBP8	KAAG1_HUMAN	NM_181337
Q8WV16	DCAF4_HUMAN	NM_001163508,NM_001163509,NM_015604,NM_181340,NM_181341
Q9Y680	FKBP7_HUMAN	NM_001135212,NM_181342
Q9HCE7	SMUF1_HUMAN	NM_001199847,NM_020429,NM_181349
P13591	NCAM1_HUMAN	NM_000615,NM_001076682,NM_001242608,NM_181351
Q6VMQ6	MCAF1_HUMAN	NM_001286514,NM_001286515,NM_018179,NM_181352
P41134	ID1_HUMAN	NM_002165,NM_181353
Q8N573	OXR1_HUMAN	NM_001198532,NM_001198533,NM_001198534,NM_001198535,NM_018002,NM_181354
O75486	SUPT3_HUMAN	NM_003599,NM_181356
B3KSW2	B3KSW2_HUMAN	NM_001163484,NM_025230,NM_181357
Q59GN6	Q59GN6_HUMAN	NM_001163484,NM_025230,NM_181357
Q8TEB1	DCA11_HUMAN	NM_001163484,NM_025230,NM_181357
P08887	IL6RA_HUMAN	NM_000565,NM_001206866,NM_181359
B5BNW5	B5BNW5_HUMAN	NM_001278911,NM_181361
Q9Y691	KCMB2_HUMAN	NM_001278911,NM_005832,NM_181361
Q16595	FRDA_HUMAN	NM_000144,NM_001161706,NM_181425
Q9UFE4	CCD39_HUMAN	NM_181426
A0A024R5R5	A0A024R5R5_HUMAN	NM_016655,NM_181427
Q06547	GABP1_HUMAN	NM_002041,NM_005254,NM_016654,NM_016655,NM_181427
A0A0G2JPZ2	A0A0G2JPZ2_HUMAN	NM_181429
Q9BXJ4	C1QT3_HUMAN	NM_030945,NM_181435
Q9H2P0	ADNP_HUMAN	NM_001282531,NM_001282532,NM_015339,NM_181442
B4DRI6	B4DRI6_HUMAN	NM_001282550,NM_001282552,NM_181443
P23945	FSHR_HUMAN	NM_000145,NM_181446
B4E0V9	B4E0V9_HUMAN	NM_181449
Q496F6	CLM2_HUMAN	NM_181449
B3KR21	B3KR21_HUMAN	NM_181453
Q8IWJ2	GCC2_HUMAN	NM_181453
A0A024R470	A0A024R470_HUMAN	NM_181457
P23760	PAX3_HUMAN	NM_000438,NM_001127366,NM_013942,NM_181457,NM_181458,NM_181459,NM_181460,NM_181461
A0A024R3R0	A0A024R3R0_HUMAN	NM_181441,NM_181454,NM_181455,NM_181456,NM_181463,NM_181464,NM_181465
Q7Z7F7	RM55_HUMAN	NM_181441,NM_181454,NM_181455,NM_181456,NM_181462,NM_181463,NM_181464,NM_181465
P56537	IF6_HUMAN	NM_001267810,NM_002212,NM_181466,NM_181468
P35250	RFC2_HUMAN	NM_001278791,NM_001278792,NM_001278793,NM_002914,NM_181471
Q96FZ5	CKLF7_HUMAN	NM_138410,NM_181472
O15165	LRAD4_HUMAN	NM_001003674,NM_001003675,NM_001276249,NM_001276251,NM_181481,NM_181482
Q8N5A5	ZGPAT_HUMAN	NM_001083113,NM_001195653,NM_001195654,NM_032527,NM_181485
Q99593	TBX5_HUMAN	NM_000192,NM_080717,NM_181486
P59923	ZN445_HUMAN	NM_181489
Q15528	MED22_HUMAN	NM_133640,NM_181491
Q9UGU0	TCF20_HUMAN	NM_005650,NM_181492
Q9BY32	ITPA_HUMAN	NM_001267623,NM_033453,NM_181493
Q13948	CASP_HUMAN	NM_001202544,NM_001202545,NM_001202546,NM_001913,NM_181500
Q3LIA3	Q3LIA3_HUMAN	NM_181500
P56199	ITA1_HUMAN	NM_181501
Q96B26	EXOS8_HUMAN	NM_181503
A0A024R1R3	A0A024R1R3_HUMAN	NM_001242464,NM_181505
Q9UD71	PPR1B_HUMAN	NM_001242464,NM_032192,NM_181505
Q7Z2Q7	LRR70_HUMAN	NM_181506
Q9UPZ3	HPS5_HUMAN	NM_007216,NM_181507,NM_181508
Q9H492	MLP3A_HUMAN	NM_032514,NM_181509
Q8IUA0	WFDC8_HUMAN	NM_130896,NM_181510
A0A024R5G7	A0A024R5G7_HUMAN	NM_181515
Q7Z2W9	RM21_HUMAN	NM_181514,NM_181515
Q9BQS2	SYT15_HUMAN	NM_031912,NM_181519
Q8IZR5	CKLF4_HUMAN	NM_178818,NM_181521
P27986	P85A_HUMAN	NM_001242466,NM_181504,NM_181523,NM_181524
P24844	MYL9_HUMAN	NM_006097,NM_181526
A8MZB2	A8MZB2_HUMAN	NM_181527
P61599	NAA20_HUMAN	NM_016100,NM_181528
Q8WVV5	BT2A2_HUMAN	NM_001197237,NM_001197238,NM_001197239,NM_001197240,NM_006995,NM_181531
Q7Z444	RASE_HUMAN	NM_181532
Q6ZPD6	Q6ZPD6_HUMAN	NM_181534
Q7Z3Z0	K1C25_HUMAN	NM_181534
Q7Z3Y7	K1C28_HUMAN	NM_181535
Q7Z443	PK1L3_HUMAN	NM_181536
Q7Z3Y8	K1C27_HUMAN	NM_181537
Q8NFK1	CXG3_HUMAN	NM_181538
Q7Z3Y9	K1C26_HUMAN	NM_181539
P39880	CUX1_HUMAN	NM_001202543,NM_001202544,NM_001202545,NM_181500,NM_181552
A0A024R6Y8	A0A024R6Y8_HUMAN	NM_144601,NM_181553
Q96MX0	CKLF3_HUMAN	NM_144601,NM_181553
P40938	RFC3_HUMAN	NM_002915,NM_181558
P35249	RFC4_HUMAN	NM_002916,NM_181573
Q9Y679	AUP1_HUMAN	NM_181575
P40937	RFC5_HUMAN	NM_001130112,NM_007370,NM_181578
A4D0R5	A4D0R5_HUMAN	NM_001270419,NM_181581
O95620	DUS4L_HUMAN	NM_001270419,NM_181581
Q53F53	Q53F53_HUMAN	NM_001127713,NM_015915,NM_181598
Q8WXF7	ATLA1_HUMAN	NM_001127713,NM_015915,NM_181598
Q8IUC0	KR131_HUMAN	NM_181599
Q3LI77	KR134_HUMAN	NM_181600
Q3LI64	KRA61_HUMAN	NM_181602
Q3LI66	KRA62_HUMAN	NM_181604
Q8IUC3	KRA71_HUMAN	NM_181606
Q8IUB9	KR191_HUMAN	NM_181607
Q3LHN2	KR192_HUMAN	NM_181608
Q7Z4W3	KR193_HUMAN	NM_181609
Q3LI73	KR194_HUMAN	NM_181610
Q3LI72	KR195_HUMAN	NM_181611
A4FU57	A4FU57_HUMAN	NM_001303120,NM_181612
Q3LI70	KR196_HUMAN	NM_001303120,NM_181612
Q3SYF9	KR197_HUMAN	NM_181614
Q3LI63	KR201_HUMAN	NM_181615
Q3LI61	KR202_HUMAN	NM_181616
Q3LI59	KR212_HUMAN	NM_181617
Q3LI58	KR211_HUMAN	NM_181619
Q3MIV0	KR221_HUMAN	NM_181620
Q52LG2	KR132_HUMAN	NM_181621
Q3SY46	KR133_HUMAN	NM_181622
Q3LI76	KR151_HUMAN	NM_181623
A1A580	KR231_HUMAN	NM_181624
Q5BJH6	Q5BJH6_HUMAN	NM_181640
Q9UBR5	CKLF_HUMAN	NM_001040138,NM_016326,NM_016951,NM_181640,NM_181641
O43278	SPIT1_HUMAN	NM_001032367,NM_003710,NM_181642
Q8TCI5	PIFO_HUMAN	NM_001300831,NM_181643
Q8N468	MFSD4_HUMAN	NM_181644
Q96KX6	Q96KX6_HUMAN	NM_181644
Q05D60	DEUP1_HUMAN	NM_181645
A4D1E1	Z804B_HUMAN	NM_181646
P30044	PRDX5_HUMAN	NM_012094,NM_181651,NM_181652
Q7Z7G2	CPLX4_HUMAN	NM_181654
Q2M2W7	CQ058_HUMAN	NM_181655,NM_181656
Q15722	LT4R1_HUMAN	NM_001143919,NM_181657
Q9Y6Q9	NCOA3_HUMAN	NM_001174088,NM_006534,NM_181659
Q7Z7G8	VP13B_HUMAN	NM_015243,NM_017890,NM_152564,NM_181661
Q7Z6G8	ANS1B_HUMAN	NM_001204065,NM_001204066,NM_001204067,NM_001204068,NM_001204069,NM_001204070,NM_001204079,NM_001204080,NM_001204081,NM_020140,NM_152788,NM_181670
A0A0C4DGP0	A0A0C4DGP0_HUMAN	NM_181671
Q9UKF7	PITC1_HUMAN	NM_012417,NM_181671
O15294	OGT1_HUMAN	NM_181672,NM_181673
Q00005	2ABB_HUMAN	NM_001271899,NM_001271900,NM_001271948,NM_181674,NM_181675,NM_181676,NM_181677,NM_181678
P59991	KR122_HUMAN	NM_181684
P59990	KR121_HUMAN	NM_181686
P60014	KR10A_HUMAN	NM_181688
Q16517	NNAT_HUMAN	NM_005386,NM_181689
Q9Y243	AKT3_HUMAN	NM_001206729,NM_005465,NM_181690
Q06830	PRDX1_HUMAN	NM_001202431,NM_002574,NM_181696,NM_181697
Q8ND76	CCNY_HUMAN	NM_001282852,NM_001282853,NM_001282854,NM_145012,NM_181698
P30154	2AAB_HUMAN	NM_001177562,NM_001177563,NM_002716,NM_181699,NM_181700
Q6ZRP7	QSOX2_HUMAN	NM_181701
A0A024R9F5	A0A024R9F5_HUMAN	NM_005261,NM_181702
P55040	GEM_HUMAN	NM_005261,NM_181702
P36382	CXA5_HUMAN	NM_005266,NM_181703
X5D2H9	X5D2H9_HUMAN	NM_005266,NM_181703
Q86Y28	BAGE4_HUMAN	NM_181704
Q5U5X0	LYRM7_HUMAN	NM_181705
A0A0A0MT77	A0A0A0MT77_HUMAN	NM_181706
Q6P3W2	DJC24_HUMAN	NM_181706
Q86WR6	CQ064_HUMAN	NM_181707
Q7Z5W3	BN3D2_HUMAN	NM_181708
Q6ZTI6	F101A_HUMAN	NM_001204299,NM_181709
Q8WWF5	ZNRF4_HUMAN	NM_181710
Q7Z6J2	GRASP_HUMAN	NM_001271856,NM_181711
Q5T7N3	KANK4_HUMAN	NM_181712
P68543	UBX2A_HUMAN	NM_181713
Q86VQ0	LCA5_HUMAN	NM_001122769,NM_181714
Q53ET0	CRTC2_HUMAN	NM_181715
Q7Z7K6	CENPV_HUMAN	NM_181716
Q5U4P2	ASPH1_HUMAN	NM_181718
Q5TGY1	TMCO4_HUMAN	NM_181719
Q6ZSC6	Q6ZSC6_HUMAN	NM_181719
A0A0A0MRJ9	A0A0A0MRJ9_HUMAN	NM_181720
Q7Z6I6	RHG30_HUMAN	NM_001025598,NM_001287600,NM_001287602,NM_181720
Q6PIV2	FOXR1_HUMAN	NM_181721
Q86XE3	MICU3_HUMAN	NM_181723
Q4V9L6	TM119_HUMAN	NM_181724
B3KM33	B3KM33_HUMAN	NM_181725
Q96IZ6	MET2A_HUMAN	NM_181725
Q7Z713	ANR37_HUMAN	NM_181726
Q7Z6I5	SPT12_HUMAN	NM_181727
Q9UP83	COG5_HUMAN	NM_001161520,NM_006348,NM_181733
O43929	ORC4_HUMAN	NM_001190879,NM_001190881,NM_001190882,NM_002552,NM_181741,NM_181742
Q96B14	Q96B14_HUMAN	NM_181742
Q6U736	OPN5_HUMAN	NM_181744
B4DWG6	B4DWG6_HUMAN	NM_001195755,NM_181745
